state,website,name,address,contact
New Hampshire,http://www.wapm.com/,Weller & Michal Architects,"One Cate Street Eldridge Park Portsmouth, NH 03801",http://www.wapm.com/weller-michal-architects-inc/about-us/
New Jersey,https://www.dmrarchitects.com/,DMR Architects,"777 Terrace Avenue Suite 607 Hasbrouck Heights, NJ 07604",inquiry@dmrarchitects.com
New Jersey,http://www.greenlivingandbuildingcenter.com/,Green Building Center,"51a Bridge Street, Lambertville NJ 08530",info@greenbuildingcenter.com
New Mexico,https://www.nca-architects.com/,NCA Architects,"1306 Rio Grande Blvd. Albuquerque, NM 87104",info@nca-architects.com
New Mexico,https://www.needbased.com/,NEEDBASED,"928 Shoofly Street Unit B Santa Fe, NM 87505",jonah@needbased.com
North Carolina,https://www.oraarchitecture.net/,ORA Architecture,"510 W. Martin Street Suite 100 Raleigh, North Carolina 27603",andrewi@oraarchitecture.net
North Carolina,https://www.acmdesignarchitects.com/,ACM Design Architecture,"103 Underwood Rd. Suite F Fletcher, NC 28732",info@acmdesignarchitects.com
North Dakota,https://www.artekta.com/,ARTEKTA Architects,"26 Roberts Street North Suite A109 Fargo, North Dakota 58102",accounts@artekta.com
North Dakota,https://jlgarchitects.com/,JLG Architects,"124 N 3rd Street Grand Forks, ND 58203",https://jlgarchitects.com/contact
Ohio,http://www.painobuilders.com/,Paino Building Corporation,"821 West Main Street Kent, Ohio 44240",peter-paino@neo.rr.com
Ohio,https://www.rwaarchitects.com/,RWA Architects,"2771 Observatory Ave. Cincinnati, OH 45208",rwa@rwaarchitects.com
Oklahoma,http://themodaexperience.com/,MODA Architecture,"1850 So. Boulder Avenue Suite 101 Tulsa, Oklahoma 74119",collaborate@theMODAexperience.com
Oklahoma,https://hsearchitects.com/,HSEarchitects,"914 N. Broadway Avenue Suite 200 Oklahoma City, OK 73102",HSE@HSEarchitects.com
Oregon,https://www.seradesign.com/,SERA Architects,"338 NW 5th Ave. Portland, OR 97209",https://www.seradesign.com/contact/
Oregon,https://www.propelstudio.com/,Propel Studio,822 SE 13th Ave. Portland, OR 97214,info@propelstudio.com
Pennsylvania,https://revisionarch.com/,Revision Architecture,"133 Grape Street Philadelphia, PA 19127",info@revisionarch.com
Pennsylvania,https://evolveea.com/,evolveEA,"6020 Broad Street Pittsburgh, PA 15206",https://evolveea.com/about/our-approach/#footer
Rhode Island,http://www.truthbox.com/,Truth Box Architects,"460 Harris Ave. Unit 104 Providence, RI 02909",PGC@TRUTHBOX.COM
Rhode Island,https://llbarch.com/,LLB Architecture,"161 Exchange St. Pawtucket, RI 02860",info@llbarch.com
South Carolina,https://www.lfkarchitect.com/,LFK Architects,"802 Coleman blvd Suite 100 Mount Pleasant, SC 29464", info@lfkarchitect.com
South Carolina,https://cgdarch.com/,Craig Gaulden Davis Architecture,"19 Washington Park Greenville, SC 29601",design@cgdarch.com
South Dakota,https://kochhazard.com/,Koch Hazard Architects,"431 N PHILLIPS AVE SUITE 200 SIOUX FALLS, SD 57104",SHOGAN@KOCHHAZARD.COM
South Dakota,http://rsarchitects-sd.com/,RSArchitects,"2307 W. 57th St. Suite 201 Sioux Falls, SD 57108",rsa@rsarchitects-sd.com
Tennessee,http://www.eearchitecture.com/,Elizabeth Eason Architects,"524 S Gay St Knoxville, TN 37902",info@eearchitecture.com
Tennessee,https://www.hastingsarchitecture.com/,Hastings Architecture,"225 Polk Ave Nashville, TN 37203",hello@hastingsarchitecture.com
Texas,https://environmentassoc.com/,ENVIRONMENT ASSOCIATES,"5828 Langfield Road Houston TX 77092",https://environmentassoc.com/contact-us/
Texas,https://chambersarchitects.com/,Stephen B. Chambers Architects,"5207 McKinney Avenue Suite 16 Dallas, TX 75205",schambers@chambersarchitects.com
Utah,https://archiplexgroup.com/,ARCHIPLEX GROUP,"255 CROSSROAD SQUARE SALT LAKE CITY, UTAH 84115",CONTACT.US@ARCHIPLEXGROUP.COM
Utah,https://www.amdarchitecture.com/,AMD Architecture,"311 South 900 East Suite 103 Salt Lake City, UT 84102",amd@amdarchitecture.com
Vermont,http://vermontintegratedarchitecture.com/,Vermont Integrated Architecture,"137 Maple St. Suite 29B Middlebury, VT 05753",http://vermontintegratedarchitecture.com/new/contact/
Vermont,https://www.sdvermont.com/,Sustainable Design,"444 Barnumville Road Manchester Ctr, VT 05255",Alan@SDvermont.com
Virginia,https://hays-ewing.com/,Hays + Ewing Architects,"609 East Market St. Suite 203 Charlottesville, VA 22902",info@hays-ewing.com
Virginia,https://www.grimmandparker.com/contact-us/,Grimm + Parker,"8609 Westwood Center Drive Suite 425 Tysons, VA 22182",https://www.grimmandparker.com/contact-us/
Washington,https://www.zgf.com/,ZGF Architects,"925 Fourth Avenue Suite 2400 Seattle, Washington 98104",https://www.zgf.com/about/contact/
Washington,http://www.velocipede.net/,VELOCIPEDE Architects,3104 WESTERN AVENUE #102 SEATTLE, WA 98121,"GEORGE@VELOCIPEDE.NET"
Washington,https://coatesdesign.com/,Coates Design Architects,"900 Winslow Way East Suite 210 Bainbridge Island, WA 98121",hello@coatesdesign.com
West Virginia,http://www.zmm.com/,ZMM Architects,"222 Lee Street West Charleston, WV 25302",zmm@zmm.com
West Virginia,http://millsgrouponline.com/,Mills Group,"63 Wharf Street Suite 300 Morgantown, WV 26501",http://millsgrouponline.com/contact
Wisconsin,http://www.tkwa.com/,The Kubala Washatko Architects,"W61 N617 Mequon Ave. Cedarburg, WI 53012",hello@tkwa.com
Wisconsin,https://www.virgetemme.com/,Virge Temme Architecture,"9098 Lime Kiln Road Sturgeon Bay, WI 54235",virge@virgetemme.com
Wyoming,https://www.wardblake.com/,Ward Blake Architecture,"200 East Broadway Jackson, WY 83001",https://www.wardblake.com/new-page-20
Wyoming,https://clbarchitects.com/,CLB Architects,"King Street Studio 215 South King Street Jackson, WY 83001",https://clbarchitects.com/contact-us/
